path,git_status,category,size_bytes,sha256,stage_reason
.gitattributes,M,D,455,108f69937281dfd17fb7b5e0aba6f01fc4605ffb16929f0dec399ef036a37c8d,repo metadata preserving literal freeze patch whitespace for staged diff validation
artifacts/s3_s6_candidate_integration/author_decision_consistency_audit.csv,A,D,17809,7af24464937f74261abee19be626c5a1f42166669570ce69fcf7456ab8450039,"compact validation, MariaDB, or human-confirmation evidence"
artifacts/s3_s6_candidate_integration/author_decision_consistency_audit.json,A,D,43347,8ef4fd364f8e83a3ad9c2555e1a033828e0b930e86a211dd48d342c8cf3a5e24,"compact validation, MariaDB, or human-confirmation evidence"
artifacts/s3_s6_candidate_integration/human_confirmation/FINAL_AUTHOR_CONFIRMATION_AUDIT.csv,A,D,759,0af040e3e170d3c72d2c8b3f5798369165882461126736e99d3bb2ac7ff9a772,"compact validation, MariaDB, or human-confirmation evidence"
artifacts/s3_s6_candidate_integration/human_confirmation/FINAL_AUTHOR_CONFIRMATION_AUDIT.json,A,D,3628,51749caf702a8108e4fddd4dab0bc0ea5da803411cf4ccdefab78078044f31a8,"compact validation, MariaDB, or human-confirmation evidence"
artifacts/s3_s6_candidate_integration/human_confirmation/PACKET_VALIDATION.json,A,D,4363,ff5d842e7b88299b3d87e44b478129c02116b889f03bf7a3e6542682c89f8469,"compact validation, MariaDB, or human-confirmation evidence"
artifacts/s3_s6_candidate_integration/human_confirmation/README.md,A,D,621,f29e28848dcfc5da541f66253f31dc0c28c95a67d636634019b4bd5c967add03,"compact validation, MariaDB, or human-confirmation evidence"
artifacts/s3_s6_candidate_integration/human_confirmation/S3_S6_AGGREGATE_HUMAN_CONFIRMATION_PACKET_V1.zip,A,D,12787,e25c94f9fcbd5c431a4526d2cc4692121d11fbb8d594f62b635e0ac0e0fa5191,"compact validation, MariaDB, or human-confirmation evidence"
artifacts/s3_s6_candidate_integration/human_confirmation/SOURCE_EVIDENCE_MANIFEST.json,A,D,7155,fdfdc7b2d1f7e991735175b89ccd916b7023ea006aeccc418fa3cc2c34fd8a3c,"compact validation, MariaDB, or human-confirmation evidence"
artifacts/s3_s6_candidate_integration/human_confirmation/aggregate_human_confirmation_cases.csv,A,D,6122,e3c2246cb90dd0750340959cf333aff457255962595a4a1c6cecb9e50571e28d,"compact validation, MariaDB, or human-confirmation evidence"
