case_id,provenance_id,origin_type,source_dataset,licence,transformation_method,source_text_newly_generated,contains_personal_information,checksum
HELD_P1_01A,prov-held_p1_01a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,e60c1811bac3928d97099f65ef6ee2b6600f9cfea9e775b13e984bfa6891c824
HELD_P1_01B,prov-held_p1_01b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,dc319c0725abcbf72dfa0631833bd8a059d898bb6ff8fd446680493f5d03c166
HELD_P1_02A,prov-held_p1_02a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,73157319b529f451509fe6bb32796c6531a5378d60303186f14b81d2935c8546
HELD_P1_02B,prov-held_p1_02b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,a04dbbbb80420d58188b38466dfd565b238632b26a6f7f65abd249303d9cf901
HELD_P1_03A,prov-held_p1_03a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,d86033dfacd2794b81d558a2c9649671c3d856264f8618116f3619388cb78945
HELD_P1_03B,prov-held_p1_03b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,988d5b16256bae3f7892154f7810a2809cd679447b69a0d05bfc9985025dbb95
HELD_P1_04A,prov-held_p1_04a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,da30176e01ef0b8bb9434219803cdc3ee625dbb3e7f7c833e0229521e8d0cee0
HELD_P1_04B,prov-held_p1_04b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,c805970f80e770723a6346dacba788276bbf402c194e64558df946d852b1bd59
HELD_P2_01A,prov-held_p2_01a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,2c61897754f8826bd2274310482b31df8af212d3a172b5941a1e4da1908a92b3
HELD_P2_01B,prov-held_p2_01b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,79ee66b9547e962cc4594bcdba3dabfb4f7c4fe37f7d26849d4826818ad5efd1
HELD_P2_02A,prov-held_p2_02a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,4bf148cd279c3dc4d446a91f9312b15ba2e13aae6fba50be96657a59886d5d13
HELD_P2_02B,prov-held_p2_02b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,0bcb2c940ca8c84c104ea50447882c1a808418be7b842effb4a4ca7c1c7fa237
HELD_P2_03A,prov-held_p2_03a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,8c465d5a5f3809ce73d723439e325f9eb83666652d95a781edb01fcd7fda3a6a
HELD_P2_03B,prov-held_p2_03b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,b6ad0540428a96cc59f84995a4e310b2016c3fbbf259e180d7089eea30b73958
HELD_P2_04A,prov-held_p2_04a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,bd508383a6a9244a8dcaabd51146dc699e3b646305bebab558f1b6cf39936e70
HELD_P2_04B,prov-held_p2_04b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,fbbe5076575e7dd4e0f64fc3dfb863750ca3f765607b9c8c9fa731ce5e86aef7
HELD_P3_01A,prov-held_p3_01a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,746419d7c01ca16994d4bf1b02897933646680798013eb833b89d6a8ecdc6eb3
HELD_P3_01B,prov-held_p3_01b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,d0023dbcefece39a8af6cba19f98b67993273839d849abcd6892798ac0928d9b
HELD_P3_02A,prov-held_p3_02a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,4a6fe7749654fc79b68dcdb95d77d5d46c56bf7f6de8b5f0742c10ff9e23f846
HELD_P3_02B,prov-held_p3_02b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,86df1be277c8b530f54656c858c04425dddde9c1a1e079434fbf3374b1d463ce
HELD_P3_03A,prov-held_p3_03a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,8530e3be6114a949292a664691ab95c8ebd7e3546d88537a5ae60cbf2fbd6ed2
HELD_P3_03B,prov-held_p3_03b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,968559360b41e7c0812efbdfcae0b27ce455c8a52b4940ebbe1f17d56f201807
HELD_P3_04A,prov-held_p3_04a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,12052079ca13d262823b6f1c6b6e21ba99695037d5d7cd97641d9fc4a9010a20
HELD_P3_04B,prov-held_p3_04b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,d6db8ca111ed562c355c64a5acfbce64203b67b28c4ff0513d4830bda0acde2a
HELD_P4_01A,prov-held_p4_01a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,ae24baa85e05d1a434dd358694ee6e2a3f8595f6b3e900833a63e1468f5aa1b9
HELD_P4_01B,prov-held_p4_01b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,ad54b4609af613e7f7e5bb77d22d7408a3d3a1e07c769f3f6a73e8761aaa9a4d
HELD_P4_02A,prov-held_p4_02a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,f8f50a95d45b3ea37ece8e2d3a894604e3d1db615f3047122a531a9082c691bc
HELD_P4_02B,prov-held_p4_02b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,0fb80fa6cd2e413cdb8d1b2f125a86a292f95d5fc4b445522366ddab4e4a4f43
HELD_P4_03A,prov-held_p4_03a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,87bb8204d2c27784921af77988b5c6dc66cb41e09639895668f5587d313e9933
HELD_P4_03B,prov-held_p4_03b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,69700806f6d2da4c5609072a5557e28300fffb65972a74cdd8bcc8d0ed76c7a8
HELD_P4_04A,prov-held_p4_04a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,2c43167023fa355c5a77f1d793c1e7b136d15c7fe21d7a9037277ab5e2bde497
HELD_P4_04B,prov-held_p4_04b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,918e87613c12e9aa6a787ffbd9406d42475f8ca6e81409e0a3d08c90695d1f22
HELD_P5_01A,prov-held_p5_01a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,59612b104a695fc8d2b86ceebaa2d50f836912970c6fac72ade535c6879b60a5
HELD_P5_01B,prov-held_p5_01b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,31a0530f423e89da40b26f8be2717b0dc7aee18aa682ea553f5e210c42222a45
HELD_P5_02A,prov-held_p5_02a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,5ea4ccdc334e819fdd397eec0f87575a5558f7a4319db3887a75f6d4d50723b1
HELD_P5_02B,prov-held_p5_02b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,f3935ddecf1ebb1e437da86afc6695617e931ba47a0c6dc253468b5b31e6d097
HELD_P5_03A,prov-held_p5_03a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,84d94a6a863f2082c1fe5ab2d2d6496350763c62676b097b429d7acd06c55243
HELD_P5_03B,prov-held_p5_03b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,c202722efc0edb8d2f7f5688002cff6c1da89be65a17214227eab931bf59e27c
HELD_P5_04A,prov-held_p5_04a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,503c3cbc58ff6ca0104439fc52ae31b659e006a9c7684ffc1aa0875843880612
HELD_P5_04B,prov-held_p5_04b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,30a04e4d43de861d395f688594c8368d6b0a6f726da7c2f0b65b7017ef63b7fa
